item,itemLabel,position,positionLabel,startDate,endDate,source,sourceDate,psid
Q100364484,Loub Yacout Zaidou,Q112038569,"Health, Solidarity, Social Protection and Gender Promotion",2019-06-22,,,2022-10-10,Q100364484-90513233-4261-def2-2e5b-86e9dbfabd3b
Q113555299,Dhoihir Dhoulkamal,Q19901416,Foreign Affairs and International Cooperation in charge of Comorans Abroad,2020,,,2022-10-10,Q113555299-10d1b235-496f-a9b3-3e8a-dc56593173f5
Q114566891,Aboudou Mohamed Chanfiou,Q114566838,"Economy, Industry, Investment and Economic Integration",2021-08-28,2022-05-09,,2022-10-10,Q114566891-6AA25E41-494E-41EE-81C2-9EC61E810FEF
Q114566892,Afretane Yssoufa,Q114566841,"Land Development and Town Planning, in charge of Land Affairs and Land Transportation",2021-08-28,,,2022-10-10,Q114566892-F557C458-6C30-429E-9B94-478CB6E10AE7
Q114566893,Ahmed Ali Bazi,Q114566844,Maritime and Air Transportation,2021-08-28,2022-05-09,,2022-10-10,Q114566893-173CAE13-7BFA-4221-BCC4-310E06A2ED61
Q114566894,Ali Ibouroi,Q114566869,"Energy, Water and Hydrocarbons",2021-08-28,,,2022-10-10,Q114566894-332D5B76-11E4-40AA-8EC1-5082990F1A40
Q114566895,Djaffar Salim,Q114566868,"National Education, Teaching, Scientific Research, Training and Professional Integration",2021-08-28,2022-05-09,,2022-10-10,Q114566895-8894C868-C609-466D-BD11-ED38B530E962
Q114566896,Kamaldini Souef,Q113953759,"Finance, the Budget and the Banking Sector",2021-08-28,2022-05-09,,2022-10-10,Q114566896-14C159BB-3AE9-4D50-A375-AA3677065958
Q114566897,Kassim Loutfi,Q114566850,Secretary of State in charge of Cooperation at the Ministry of Foreign Affairs and International Cooperation,2021-08-28,,,2022-10-10,Q114566897-948A19D7-18B0-44BA-AB0F-49C44B62BB69
Q114566898,Mahamoud Fakridine,Q114566839,"Interior, Decentralisation and Territorial Administration in charge of Relations with Institutions",2021-08-28,,,2022-10-10,Q114566898-8287BDF6-D04B-4875-B61B-184BCB717023
Q114566899,Moctar Ould Dada Hamdane,Q114566853,"Secretary of State in charge of Tourism and Handicrafts at the Ministry of Economy, Investment and Energy in charge of Economic Integration, Tourism and Handicrafts",2021-08-28,,,2022-10-10,Q114566899-4AC1B5DB-69A6-408B-BC4A-BF52B279BCF6
Q114566900,Mohamed Housseini Djamalilaili,Q113953751,"Justice, Islamic Affairs and the Civil Service, in charge of Human Rights, Transparency and Public Administration",2018-08-28,2021-08-28,,2022-10-10,Q114566900-CEF5FEE3-41EC-4A99-A5B2-A2DCEFA750AB
Q114566901,Takiddine Youssouf,Q114566847,"Youth, Labour, Employment, Sports, Arts and Culture",2021-08-28,2022-05-09,,2022-10-10,Q114566901-EC5B45D7-BDCA-4F8D-8EBC-D91DF00BE297
Q114568395,Djaé Ahamada Chanfi,Q113953751,Minister of Justice (Comoros),2021-08-28,,,,Q114568395-c3264b4e-40fc-d774-e740-412fa2a12cfc
Q114568420,Houmed M'Saidié Ahmed,Q114566837,Minister of Agriculture,2021-08-26,,,,Q114568420-9a0cf37d-4504-0077-d4a2-fd4431db3dc8
Q2827661,Ahmed Ben Said Jaffar,Q114566846,"Posts, Telecommunications and the Digital Economy in charge of Information",2021-08-28,2022-05-09,,2022-10-10,Q2827661-8B517BED-6823-48CB-8AB0-9C6E1DF323E3
Q515602,Col Azali Assoumani,Q28015452,President,2019-05-26,,,2022-10-10,Q515602-6980efa8-4cb3-31e3-a272-af94287f1628
Q855447,Bianrifi Tarmidi,Q114566837,"Agriculture, Fisheries and Environment",2020,2021-08-28,,2022-10-10,Q855447-50811A9B-F8D9-4DD0-84F1-70433C2BB140
