@@,itemlabel,positionlabel
---,Djaffar Salim,"Minister of Youth, Labour, Employment, Sports, Arts and Culture"
+++,Dr Takiddine Youssouf,"Minister of Youth, Employment, Labour, Sport, the Arts and Culture"
---,Kassim Loutfi,Secretary of State in charge of Cooperation
---,Moctar Ould Dada Hamdane,Secretary of State in charge of Tourism and Handicrafts
