who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
392337,List of heads of state of the Comoros,President of the Comoros,2019-04-03,,Q28370112,Moustadroine Abdou,,,0
392337,,,2016-05-26,2019-02-13,Q57458,Ikililou Dhoinine,,Moustadroine Abdou (interim),1
392337,,,2002-05-26,2006-05-26,Q3111209,Hamada Madi (interim),Q311129,Ahmed Abdallah Mohamed Sambi,2
392337,,President of the Council of State of the Comoros,1999-04-30,2002-01-21,Tadjidine Ben Said Massounde,Tadjidine Ben Said Massounde (Acting),Q3111209,Hamada Madi (Acting),3
