position,positionLabel,country,countryLabel,jurisdiction,jurisdictionLabel,inception,abolished,predecessor,predecessorLabel,successor,successorLabel,deputy,deputyLabel,list,listLabel
Q7241258,President of Anjouan,Q970,Comoros,Q231324,Anjouan,,,,,,,,,,
Q7241268,President of Grande Comore,,,,,,,,,,,,,,
Q7241281,President of Mohéli,,,,,,,,,,,,,,
Q17005533,Vice President of the Comoros,Q970,Comoros,Q970,Comoros,,,,,,,,,,
Q19901416,Minister of Foreign Affairs,Q970,Comoros,Q970,Comoros,,,,,,,,,,
Q21328589,Member of the Assembly of the Union of the Comoros,Q970,Comoros,Q970,Comoros,,,,,,,,,,
Q28015452,President of Comoros,Q970,Comoros,Q970,Comoros,,,,,,,,,Q3236550,list of heads of state of Comoros
Q28220749,Comorian Ambassador to the United States,Q970,Comoros,,,,,,,,,,,,
Q40338493,ambassador of the Comoros to Canada,Q970,Comoros,,,,,,,,,,,,
Q52995381,Prime Minister of Comoros,Q970,Comoros,Q970,Comoros,,2002-04-15,,,,,,,,
Q112038569,Minister of Health of the Comoros,Q970,Comoros,Q970,Comoros,,,,,,,,,,
Q113953751,Minister of Justice (Comoros),,,Q970,Comoros,,,,,,,,,,
Q113953755,"Minister of Employment, Youth and Sports",Q970,Comoros,Q970,Comoros,,,,,,,,,,
Q113953758,President of the Assembly of the Union of the Comoros,,,,,,,,,,,,,,
Q113953759,Minister of Finance of the Comoros,Q970,Comoros,Q970,Comoros,,,,,,,,,,
Q113953775,Member of the Assembly of the Autonomous Island of Anjouan,Q970,Comoros,Q231324,Anjouan,,,,,,,,,,
Q113953777,Member of the Assembly of the Autonomous Island of Grande Comore,Q970,Comoros,Q244978,Grande Comore,,,,,,,,,,
Q113953778,Member of the Assembly of the Autonomous Island of Mohéli,Q970,Comoros,Q271797,Mohéli,,,,,,,,,,
Q114566837,Minister of Agriculture,Q970,Comoros,Q970,Comoros,,,,,,,,,,
Q114566838,Minister of Economy,Q970,Comoros,Q970,Comoros,,,,,,,,,,
Q114566839,Minister of Internal Affairs,Q970,Comoros,Q970,Comoros,,,,,,,,,,
Q114566841,Minister of Land Development and Town Planning,Q970,Comoros,Q970,Comoros,,,,,,,,,,
Q114566844,Minister of Maritime and Air Transportation,Q970,Comoros,Q970,Comoros,,,,,,,,,,
Q114566846,"Minister of Posts, Telecommunications and the Digital Economy",Q970,Comoros,Q970,Comoros,,,,,,,,,,
Q114566847,"Minister of Youth, Labour, Employment, Sports, Arts and Culture",Q970,Comoros,Q970,Comoros,,,,,,,,,,
Q114566850,Secretary of State in charge of Cooperation,Q970,Comoros,Q970,Comoros,,,,,,,,,,
Q114566853,Secretary of State in charge of Tourism and Handicrafts,Q970,Comoros,Q970,Comoros,,,,,,,,,,
Q114566868,Minister of National Education,Q970,Comoros,Q970,Comoros,,,,,,,,,,
Q114566869,"Minister of Energy, Water, and Hydrocarbons",Q970,Comoros,Q970,Comoros,,,,,,,,,,
Q114568447,Secretary-General of the Government,Q970,Comoros,Q970,Comoros,,,,,,,,,,
