position,positionLabel,ofLabel,jurisdictionLabel,people,example
Q62619600,Secretary-General of the Indian Ocean Commission,,,2,Q3111209
Q1501800,director general,Office de radio et télévision des Comores,,1,Q2827661
Q1501800,director general,banque de développement des Comores,,1,Q1024670
Q30185,mayor,Bambao,municipality,1,Q106088222
Q42178,vice president,Assembly of the Union of the Comoros,,1,Q106088088
