item,itemLabel,ministry,ministryLabel,country,jurisdiction,began,ended,holders
Q114566837,Minister of Agriculture,,,Q970,Q970,,,2
Q114566838,Minister of Economy,,,Q970,Q970,,,2
Q113953755,"Minister of Employment, Youth and Sports",,,Q970,Q970,,,1
Q114566869,"Minister of Energy, Water, and Hydrocarbons",,,Q970,Q970,,,1
Q113953759,Minister of Finance of the Comoros,,,Q970,Q970,,,5
Q19901416,Minister of Foreign Affairs,,,Q970,Q970,,,18
Q112038569,Minister of Health of the Comoros,,,Q970,Q970,,,4
Q114566839,Minister of Internal Affairs,,,Q970,Q970,,,1
Q113953751,Minister of Justice (Comoros),Q55648325,Ministry of Justice (Comoros),,Q970,,,3
Q114566841,Minister of Land Development and Town Planning,,,Q970,Q970,,,1
Q114566844,Minister of Maritime and Air Transportation,,,Q970,Q970,,,2
Q114566868,Minister of National Education,,,Q970,Q970,,,2
Q114566846,"Minister of Posts, Telecommunications and the Digital Economy",,,Q970,Q970,,,2
Q114566847,"Minister of Youth, Labour, Employment, Sports, Arts and Culture",,,Q970,Q970,,,2
Q28015452,President of Comoros,,,Q970,Q970,,,16
Q114566850,Secretary of State in charge of Cooperation,,,Q970,Q970,,,1
Q114566853,Secretary of State in charge of Tourism and Handicrafts,,,Q970,Q970,,,1
Q114568447,Secretary-General of the Government,,,Q970,Q970,,,1
Q17005533,Vice President of the Comoros,,,Q970,Q970,,,10
