position,title
Q28015452,President
Q17005533,Vice President
Q52995381,Prime Minister
Q114566837,Minister of Agriculture
Q114566838,Minister of Economy
Q114566868,Minister of Education
Q113953755,"Minister of Employment, Youth and Sports"
Q114566869,"Minister of Energy, Water, and Hydrocarbons"
Q113953759,Minister of Finance
Q19901416,Minister of Foreign Affairs
Q112038569,Minister of Health
Q114566839,Minister of Internal Affairs
Q113953751,Minister of Justice
Q114566841,Minister of Land Development and Town Planning
Q114566844,Minister of Maritime and Air Transportation
Q114566846,"Minister of Posts, Telecommunications and the Digital Economy"
Q114566847,"Minister of Youth, Labour, Employment, Sports, Arts and Culture"
Q113953758,President of the Assembly of the Union
Q114568447,Secretary-General of the Government
Q7241258,President of Anjouan
Q7241268,President of Grande Comore
Q7241281,President of Mohéli
