wanted,position,positionid,from,start,end
Q855447,Minister of Maritime and Air Transportation,Q114566844,Q114566893,2021-08-28,2022-05-09
Q515602,President,Q28015452,Q28370112,2019-02-13,2019-04-03
Q919913,President of Anjouan,Q7241258,Q105816348,2007-05-11,2007-06-14
Q57458,Minister of Finance,Q113953759,Q24930192,2007-03-22,2009-06-24
Q5429564,Minister of Foreign Affairs,Q19901416,Q2827661,2006-05-28,2010-05-26
Q57458,President,Q28015452,Q311129,2006-05-26,2011-05-26
Q515602,President,Q28015452,Q3111209,2002-01-21,2002-05-26
